pvsnr,vsnr,vm,aktiv,spartek,vtr_dau,vtrweg,STORNGRD,gesbeitr,SDANZAHL,SCHAGESA,KOSTGESA,KOSTGEKA,kosten_verw,kosten_prov,plz,alter,SDBEITR5,HSN,KILOMETERSTAND,end_year,end_month,end_day,beg_year,beg_month,beg_day,gfeld_c,ort_id,anr_no,gender_id,plz_id,Customer_beg_year,Electric,car_model
27150235,27150235-001,00 000 1357,1,2,89.0,4,,341.12,0.0,0,0,0,10.81,6.45,65203,56.0,"85,28",8004.0,113.0,,,,2025,1,1,70270,1882,71295,1,5779,2025.0,1,862
25613989,25613989-003,12 288 7001,1,1,154.0,2,,"405,79",0.0,"0,00","0,00","0,00","15,62","18,87",57632,58.0,"166,97",7593.0,29.0,,,,2024,10,28,70270,9110,71295,1,15033,2023.0,1,255
26345370,26345370-002,69 736 2943,1,2,455.0,2,,"149,80",0.0,"0,00","0,00","0,00","19,11","18,21",16818,76.0,"170,55",5984.0,2.5,,,,2024,1,1,70270,9985,71295,1,1615,2024.0,1,656
26890956,26890956-001,00 000 7741,1,1,375.0,2,,"484,28",1.0,"11.802,26","13.329,19","13.459,16","30,19","35,01",88212,35.0,"313,99",603.0,153.581,,,,2024,3,21,70270,2729,71296,2,11165,2024.0,1,440
27036867,27036867-001,00 000 1357,1,2,120.0,4,,"376,81",0.0,"0,00","0,00","0,00","15,42","9,54",63628,48.0,"125,60",5.0,304.0,,,,2024,12,1,70270,2898,71295,1,2716,2024.0,1,2191
25352986,25352986-003,00 000 1357,0,3,119.0,4,,"60,22",0.0,"0,00","0,00","0,00","2,50","1,56",80637,28.0,"19,90",4136.0,135.0,2023.0,3.0,24.0,2022,11,25,70270,1041,71295,1,11556,2020.0,1,2399
25917678,25917678-001,00 000 1357,0,2,365.0,4,,"542,96",0.0,"0,00","0,00","0,00","68,77","42,47",64521,34.0,"542,96",5.0,135.0,2023.0,8.0,1.0,2022,8,1,70270,3139,71296,2,12575,2022.0,1,368
25632139,25632139-001,00 000 9420,0,1,527.0,2,36.0,"430,92",1.0,"0,00","0,00","0,00","56,15","58,93",94437,58.0,"527,29",35.0,92.0,2024.0,6.0,11.0,2023,1,1,70271,5537,71295,1,12843,2023.0,1,1054
25050124,25050124-002,00 000 5143,0,2,366.0,2,312.0,"235,13",0.0,"0,00","0,00","0,00","26,19","24,83",97523,71.0,"235,13",5.0,158.5,2025.0,1.0,1.0,2024,1,1,70270,4725,71295,1,4883,2019.0,1,1530
26061752,26061752-001,00 000 5483,1,2,857.0,2,,"218,62",0.0,"0,00","0,00","0,00","54,76","50,36",23858,59.0,"469,78",8252.0,156.567,,,,2022,11,25,70270,447,71296,2,150,2022.0,1,1972
